time,energy,temperature_2m,weathercode,cloudcover,cloudcover_low,cloudcover_mid,cloudcover_high,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,terrestrial_radiation
1681534800,440,8.0,51,100,100,96,98,7.0,0.0,7.0,0.0,166.8
1681542000,2850,8.0,53,100,100,98,94,44.0,0.0,44.0,0.0,578.8
1681549200,8430,8.3,53,100,100,100,89,66.0,0.0,66.0,0.0,884.1
1681556400,12800,8.6,53,100,99,100,100,77.0,0.0,77.0,0.0,1001.0
1681563600,10260,8.9,53,100,66,89,25,112.0,2.0,110.0,3.0,898.4
1681570800,8090,8.9,51,51,25,33,30,143.0,29.0,114.0,65.3,603.9
1681578000,2540,8.5,3,100,73,33,99,40.0,7.0,33.0,47.3,196.8
1681621200,1500,6.9,3,96,100,7,7,32.0,3.0,29.0,21.5,174.2
1681628400,11290,8.3,51,93,100,5,0,131.0,10.0,121.0,23.2,585.5
1681635600,19250,10.4,3,90,100,0,0,248.0,34.0,214.0,51.9,890.0
1681642800,37850,12.1,3,90,100,0,0,283.0,35.0,248.0,47.3,1006.2
1681650000,41790,13.1,3,92,100,2,1,204.0,26.0,178.0,39.1,903.3
1681657200,13160,13.6,3,85,76,4,47,213.0,60.0,153.0,133.9,609.0
1681664400,1790,12.2,3,83,54,13,89,62.0,21.0,41.0,139.8,202.4
1681707600,11260,6.9,51,64,13,41,94,56.0,16.0,40.0,112.3,181.5
1681714800,11600,9.7,51,100,60,74,96,237.0,100.0,137.0,229.5,592.0
1681722000,39980,11.7,51,100,44,79,95,325.0,88.0,237.0,133.5,895.7
1681729200,21360,12.9,3,100,32,86,99,353.0,92.0,261.0,123.6,1011.3
1681736400,15510,13.0,3,100,45,78,100,310.0,47.0,263.0,70.3,908.2
1681743600,16440,11.9,51,100,72,50,98,120.0,2.0,118.0,4.4,614.0
1681750800,2250,10.7,51,100,82,48,100,29.0,0.0,29.0,0.0,208.0
1681794000,3100,8.2,3,100,47,91,42,17.0,2.0,15.0,13.8,188.8
1681801200,12830,10.4,51,100,51,77,64,270.0,123.0,147.0,279.1,598.5
1681808400,58600,12.5,3,100,80,43,62,378.0,145.0,233.0,218.4,901.3
1681815600,49240,14.1,3,100,100,39,50,380.0,97.0,283.0,129.6,1016.3
1681822800,26990,14.1,3,91,38,63,63,275.0,127.0,148.0,188.9,912.9
1681830000,14720,13.9,2,55,12,70,6,269.0,166.0,103.0,364.1,619.0
