time,energy,temperature_2m,weathercode,cloudcover,cloudcover_low,cloudcover_mid,cloudcover_high,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,terrestrial_radiation
1681534800,440,8.0,51,100,100,96,98,7.0,0.0,7.0,0.0,166.8
1681538400,1590,8.0,51,100,100,79,95,22.0,0.0,22.0,0.0,379.6
1681542000,2850,8.0,53,100,100,98,94,44.0,0.0,44.0,0.0,578.8
1681545600,5860,8.1,53,100,100,100,100,42.0,0.0,42.0,0.0,750.9
1681549200,8430,8.3,53,100,100,100,89,66.0,0.0,66.0,0.0,884.1
1681552800,9840,8.5,53,100,100,100,100,81.0,0.0,81.0,0.0,969.4
1681556400,12800,8.6,53,100,99,100,100,77.0,0.0,77.0,0.0,1001.0
1681560000,14100,8.7,53,100,94,99,81,98.0,0.0,98.0,0.0,976.8
1681563600,10260,8.9,53,100,66,89,25,112.0,2.0,110.0,3.0,898.4
1681567200,12000,8.9,53,60,38,42,1,98.0,4.0,94.0,7.1,771.2
1681570800,8090,8.9,51,51,25,33,30,143.0,29.0,114.0,65.3,603.9
1681574400,5230,9.0,3,82,45,25,89,93.0,19.0,74.0,63.3,408.0
1681578000,2540,8.5,3,100,73,33,99,40.0,7.0,33.0,47.3,196.8
1681581600,450,8.0,3,100,85,63,100,3.0,0.0,3.0,0.0,34.8
1681585200,80,8.1,3,100,86,68,100,0.0,0.0,0.0,0.0,0.0
1681588800,0,7.6,3,100,73,72,100,0.0,0.0,0.0,0.0,0.0
1681592400,0,7.2,3,100,82,75,100,0.0,0.0,0.0,0.0,0.0
1681596000,0,6.9,3,100,99,83,94,0.0,0.0,0.0,0.0,0.0
1681599600,0,6.7,3,100,100,91,93,0.0,0.0,0.0,0.0,0.0
1681603200,0,6.6,3,100,99,35,0,0.0,0.0,0.0,0.0,0.0
1681606800,0,6.5,3,100,100,47,0,0.0,0.0,0.0,0.0,0.0
1681610400,0,6.4,3,100,100,45,0,0.0,0.0,0.0,0.0,0.0
1681614000,0,6.5,3,100,100,20,3,0.0,0.0,0.0,0.0,0.0
1681617600,60,6.4,3,93,100,2,5,2.0,0.0,2.0,0.0,23.4
1681621200,1500,6.9,3,96,100,7,7,32.0,3.0,29.0,21.5,174.2
1681624800,5070,7.6,3,97,99,12,1,90.0,15.0,75.0,52.7,386.6
1681628400,11290,8.3,51,93,100,5,0,131.0,10.0,121.0,23.2,585.5
1681632000,14740,9.4,3,90,100,0,0,213.0,22.0,191.0,39.5,757.1
1681635600,19250,10.4,3,90,100,0,0,248.0,34.0,214.0,51.9,890.0
1681639200,30940,11.2,3,90,100,0,0,260.0,18.0,242.0,25.1,974.9
1681642800,37850,12.1,3,90,100,0,0,283.0,35.0,248.0,47.3,1006.2
1681646400,44440,12.7,3,90,100,0,0,273.0,34.0,239.0,47.1,981.8
1681650000,41790,13.1,3,92,100,2,1,204.0,26.0,178.0,39.1,903.3
1681653600,31040,13.5,3,98,98,5,21,232.0,44.0,188.0,77.0,776.2
1681657200,13160,13.6,3,85,76,4,47,213.0,60.0,153.0,133.9,609.0
1681660800,10880,13.4,3,88,66,8,80,138.0,26.0,112.0,85.5,413.3
1681664400,1790,12.2,3,83,54,13,89,62.0,21.0,41.0,139.8,202.4
1681668000,300,10.8,3,94,67,13,87,4.0,0.0,4.0,0.0,37.6
1681671600,80,9.6,3,92,63,17,85,0.0,0.0,0.0,0.0,0.0
1681675200,0,9.0,51,82,68,29,12,0.0,0.0,0.0,0.0,0.0
1681678800,0,8.6,51,93,83,31,0,0.0,0.0,0.0,0.0,0.0
1681682400,0,8.1,2,72,45,50,6,0.0,0.0,0.0,0.0,0.0
1681686000,0,7.7,2,62,35,41,20,0.0,0.0,0.0,0.0,0.0
1681689600,0,7.1,51,78,44,50,29,0.0,0.0,0.0,0.0,0.0
1681693200,0,6.6,51,74,26,57,55,0.0,0.0,0.0,0.0,0.0
1681696800,0,6.3,51,95,42,56,79,0.0,0.0,0.0,0.0,0.0
1681700400,0,5.9,51,77,13,61,96,0.0,0.0,0.0,0.0,0.0
1681704000,640,5.8,51,68,12,46,97,3.0,0.0,3.0,0.0,27.1
1681707600,11260,6.9,51,64,13,41,94,56.0,16.0,40.0,112.3,181.5
1681711200,16910,8.4,51,85,25,56,95,144.0,66.0,78.0,227.8,393.6
1681714800,11600,9.7,51,100,60,74,96,237.0,100.0,137.0,229.5,592.0
1681718400,26020,10.8,51,100,95,66,97,290.0,109.0,181.0,194.0,763.3
1681722000,39980,11.7,51,100,44,79,95,325.0,88.0,237.0,133.5,895.7
1681725600,25360,12.6,51,100,26,86,96,395.0,165.0,230.0,228.7,980.3
1681729200,21360,12.9,3,100,32,86,99,353.0,92.0,261.0,123.6,1011.3
1681732800,30050,13.2,3,100,50,95,100,402.0,100.0,302.0,137.7,986.7
1681736400,15510,13.0,3,100,45,78,100,310.0,47.0,263.0,70.3,908.2
1681740000,18520,12.3,3,100,58,63,99,151.0,5.0,146.0,8.7,781.0
1681743600,16440,11.9,51,100,72,50,98,120.0,2.0,118.0,4.4,614.0
1681747200,8200,11.4,51,100,78,41,99,94.0,4.0,90.0,13.0,418.6
1681750800,2250,10.7,51,100,82,48,100,29.0,0.0,29.0,0.0,208.0
1681754400,240,10.0,51,100,63,77,97,3.0,0.0,3.0,0.0,40.5
1681758000,100,9.3,53,100,50,95,99,0.0,0.0,0.0,0.0,0.0
1681761600,0,8.8,51,100,65,97,99,0.0,0.0,0.0,0.0,0.0
1681765200,0,8.5,51,100,97,91,99,0.0,0.0,0.0,0.0,0.0
